"country","iso2c","iso3c","year","status","lastupdated","NY.GDP.PCAP.PP.CD","SE.XPD.TOTL.GD.ZS","SE.TER.ENRR","SE.ADT.LITR.ZS","region","capital","longitude","latitude","income","lending"
"Afghanistan","AF","AFG",2009,"","2025-10-07",1570.69814517949,NA,3.93815994262695,NA,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",2012,"","2025-10-07",1988.42930381554,2.60419988632202,NA,NA,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",2005,"","2025-10-07",1076.08735260871,NA,NA,NA,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",2006,"","2025-10-07",1121.83447077749,NA,NA,NA,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",2011,"","2025-10-07",1744.06062321558,3.4620099067688,3.68686008453369,31.4500007629394,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",2003,"","2025-10-07",966.962032055781,NA,1.37434995174408,NA,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",2018,"","2025-10-07",2432.27670083336,NA,9.99592018127441,NA,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",2010,"","2025-10-07",1765.53802830615,3.4794499874115,NA,NA,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",2008,"","2025-10-07",1333.74726661897,NA,NA,NA,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",2002,"","2025-10-07",926.507941011646,NA,NA,NA,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",2017,"","2025-10-07",2335.79586234454,4.34319019317627,NA,NA,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",2015,"","2025-10-07",2284.07584789349,3.2558000087738,NA,33.75,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",2004,"","2025-10-07",971.633503046666,NA,1.39064002037048,NA,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",2007,"","2025-10-07",1286.94984312675,NA,NA,NA,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",2000,"","2025-10-07",813.550255989624,NA,NA,NA,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",2013,"","2025-10-07",2133.24127098647,3.45445990562439,NA,NA,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",2001,"","2025-10-07",747.688045492413,NA,NA,NA,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",2019,"","2025-10-07",2583.48533239877,NA,NA,NA,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",2016,"","2025-10-07",2213.1814410479,4.54397010803223,NA,NA,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Afghanistan","AF","AFG",2014,"","2025-10-07",2224.49074815215,3.69521999359131,8.39764022827148,NA,"South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"Africa Eastern and Southern","ZH","AFE",2010,"","2025-10-07",3149.29076918953,4.02403008937836,7.34631013870239,64.7143630981445,"Aggregates","","","","Aggregates","Aggregates"
"Africa Eastern and Southern","ZH","AFE",2002,"","2025-10-07",2249.46710382759,NA,4.5005898475647,63.8376197814941,"Aggregates","","","","Aggregates","Aggregates"
"Africa Eastern and Southern","ZH","AFE",2001,"","2025-10-07",2187.10189425214,4.34167003631591,4.2595100402832,63.1577606201172,"Aggregates","","","","Aggregates","Aggregates"
"Africa Eastern and Southern","ZH","AFE",2008,"","2025-10-07",3082.39372459044,4.28008008003235,6.22163009643555,63.2282295227051,"Aggregates","","","","Aggregates","Aggregates"
"Africa Eastern and Southern","ZH","AFE",2009,"","2025-10-07",3041.84830475193,NA,6.78540992736816,63.9608116149902,"Aggregates","","","","Aggregates","Aggregates"
"Africa Eastern and Southern","ZH","AFE",2011,"","2025-10-07",3253.88230425835,4.63901452250474,7.71177005767822,66.8281402587891,"Aggregates","","","","Aggregates","Aggregates"
"Africa Eastern and Southern","ZH","AFE",2013,"","2025-10-07",3291.01157257418,4.63769446369719,8.18673038482666,69.3683166503906,"Aggregates","","","","Aggregates","Aggregates"
